#	<x>	stDevX	<E>	stDevE
0	0.140913	-nan	-0.298915	-nan
550	0.0106708	1.1532	0.508652	10.9944
551	0.0107781	1.15261	0.509147	11.0061
552	0.00976113	1.15199	0.509823	11.0178
553	0.00890225	1.15133	0.509908	11.0295
554	0.00922413	1.15068	0.50933	11.0412
555	0.00893359	1.15003	0.507232	11.0528
556	0.00800252	1.14933	0.507065	11.0643
557	0.00878965	1.14868	0.507246	11.0759
558	0.00761802	1.14797	0.507913	11.0874
559	0.00714839	1.14725	0.507858	11.099
560	0.00653312	1.14651	0.50817	11.1106
561	0.00778638	1.14581	0.507186	11.1221
562	0.00826618	1.14515	0.506571	11.1335
563	0.00829719	1.14448	0.506423	11.145
564	0.00714898	1.14377	0.506553	11.1564
565	0.00777363	1.14309	0.506997	11.1679
566	0.00751811	1.1424	0.506902	11.1793
567	0.0078009	1.14172	0.507047	11.1907
568	0.00834667	1.14107	0.507723	11.2022
569	0.00806161	1.14041	0.507759	11.2136
570	0.00795526	1.13974	0.507975	11.225
571	0.00827791	1.13909	0.507912	11.2365
572	0.00783635	1.13843	0.507565	11.2479
573	0.00860413	1.13779	0.508021	11.2593
574	0.00713126	1.1371	0.508532	11.2707
575	0.00659593	1.13639	0.508307	11.2821
576	0.00697976	1.1357	0.508113	11.2934
577	0.00632788	1.13498	0.508485	11.3048
578	0.00686186	1.13429	0.508747	11.3162
579	0.00752884	1.13362	0.50887	11.3275
580	0.00773707	1.13297	0.508789	11.3389
581	0.0073189	1.1323	0.508686	11.3502
582	0.00746811	1.13164	0.508572	11.3616
583	0.00835377	1.13102	0.508034	11.3729
584	0.00785808	1.13038	0.508728	11.3842
585	0.00814214	1.12975	0.508683	11.3955
586	0.00819359	1.12913	0.508539	11.4067
587	0.00772571	1.12849	0.508369	11.418
588	0.00838482	1.12787	0.508236	11.4292
589	0.0088305	1.12728	0.508229	11.4405
590	0.00892057	1.1267	0.508931	11.4517
591	0.00989866	1.12615	0.509464	11.463
592	0.0105029	1.12564	0.509799	11.4742
593	0.0105936	1.12512	0.510165	11.4855
594	0.010495	1.12461	0.508978	11.4967
595	0.0103242	1.12409	0.508685	11.5079
596	0.00915816	1.12352	0.509434	11.5191
597	0.00849719	1.12293	0.509843	11.5303
598	0.00988606	1.1224	0.510796	11.5416
599	0.0107628	1.1219	0.510668	11.5528
600	0.01192	1.12146	0.51151	11.564
601	0.0124385	1.12103	0.512182	11.5753
602	0.0122855	1.12061	0.51202	11.5866
603	0.0105355	1.12011	0.513295	11.5978
604	0.0107574	1.11962	0.513672	11.6091
605	0.0106794	1.11913	0.513739	11.6204
606	0.0102096	1.11862	0.51395	11.6317
